OBJECTID,STNCODE,STNNAME,ADDRESS1,ADDRESS2,CITY,STATE,ZIP,STNTYPE,STFIPS
"1","HUN","Huntington, West Virginia","1050 8th Avenue","","Huntington","WV","25701","RAIL","54"
"2","HUT","Hutchinson, Kansas","North Walnut St & East 3rd Ave","","Hutchinson","KS","67501","RAIL","20"
"3","HWC","Howard City, Michigan","130 North Ensley St.","Sunoco Station","Howard City","MI","49323","BUS","26"
"4","IDO","Indio, California","NE Corner Hywy-111 and Monroe Street","Sunline Bus Stop","Indio","CA","92201-3917","BUS","06"
"5","IDP","Independence, Missouri","600 South Grand Ave.","","Independence","MO","64050-3564","RAIL","29"
"6","IND","Indianapolis, Indiana","350 South Illinois Street","","Indianapolis","IN","46225-1198","RAIL","18"
"7","IRV","Irvine, California","15215 Barranca Parkway","Irvine Transportation Center","Irvine","CA","92618","RAIL","06"
"8","JAN","Jackson, Mississippi","300 W. Capital Street","","Jackson","MS","39201","RAIL","28"
"9","JAX","Jacksonville, Florida","3570 Clifford Lane","","Jacksonville","FL","32209-2123","RAIL","12"
"10","JEF","Jefferson City, Missouri","101 Jefferson Street","","Jefferson City","MO","65101","RAIL","29"
"12","JMN","Jamestown, New York","111 West Third Street","U.S. News Agency","Jamestown","NY","14701","BUS","36"
"13","JOL","Joliet, Illinois","50 East Jefferson Street","Union Station","Joliet","IL","60431","RAIL","17"
"14","JSP","Jesup, Georgia","176 Northwest Broad Street","","Jesup","GA","31545-1300","RAIL","13"
"15","JST","Johnstown, Pennsylvania","47 Walnut Street","","Johnstown","PA","15901","RAIL","42"
"16","JVL","Janesville, Wisconsin","3120 North Pontiac Drive","Bus Station","Janesville","WI","53545-0373","BUS","55"
"17","JXN","Jackson, Michigan","501 E. Michigan Ave.","","Jackson","MI","49201","RAIL","26"
"18","KAL","Kalamazoo, Michigan","459 North Burdick St.","","Kalamazoo","MI","49007-3669","RAIL","26"
"19","KAN","Kannapolis, North Carolina","201 South Main St.","","Kannapolis","NC","28081","RAIL","37"
"20","KCY","Kansas City, Missouri","30 West Pershing Rd.","Union Station, Suite 160","Kansas City","MO","64108-2410","RAIL","29"
"21","KEE","Kewanee, Illinois","Loomis and North Tremont Sts.","","Kewanee","IL","61443","RAIL","17"
"22","KEL","Kelso-Longview, Washington","501 South First Street","","Kelso","WA","98626","RAIL","53"
"23","KFS","Klamath Falls, Oregon","1600 Oak Ave.","","Klamath Falls","OR","97601-3286","RAIL","41"
"24","KGC","King City, California","1350 Broadway Circle","MacDonalds Restaurant - south side parking lot","King City","CA","93930-3446","BUS","06"
"25","KGG","Kingman (Greyhound), Arizona","3264 E. Andy Devine Av.","Greyhound Station","Kingman","AZ","86401-3724","BUS","04"
"26","KGS","Kingsley, Michigan","119 E. Main St.","Kingsley Laundromat","Kingsley","MI","49649","BUS","26"
"27","KIL","Killeen, Texas","200 East Avenue C","Arrow Trailways Bus Station","Killeen","TX","76541-5231","BUS","48"
"28","KIN","West Kingston, Rhode Island","1 Railroad Avenue","","West Kingston","RI","02892-1508","RAIL","44"
"29","KIS","Kissimmee, Florida","111 East Dakin Ave.","","Kissimmee","FL","34741-5723","RAIL","12"
"30","KKI","Kankakee, Illinois","199 South East Ave.","","Kankakee","IL","60901-3834","RAIL","17"
"32","KNG","Kingman, Arizona","106 4th Street","","Kingman","AZ","86401","RAIL","04"
"33","CNH","Concord, New Hampshire","30 Stickney Ave.","Concord Transportation Center","Concord","NH","03301-5064","BUS","33"
"34","COC","Corcoran, California","1099 Otis Ave.","Otis and Whitney Aves.","Corcoran","CA","93212-2445","RAIL","06"
"35","COI","Connersville, Indiana","1012 Eastern Avenue","","Connersville","IN","47331","RAIL","18"
"36","COS","Colorado Springs, Colorado","120 South Weber Street","","Colorado Springs","CO","80903","BUS","08"
"37","COT","Coatesville, Pennsylvania","Third Ave. and Fleetwood St.","","Coatesville","PA","19320","RAIL","42"
"38","COV","Connellsville, Pennsylvania","North Water Street and West Peach Street","","Connellsville","PA","15425","RAIL","42"
"39","COX","Colfax, California","99 Railroad St. at Church St.","","Colfax","CA","95713","RAIL","06"
"40","CPN","Carpinteria, California","475 Linden at Fifth Street","","Carpinteria","CA","93013","RAIL","06"
"41","CRB","Crawfordsville (Bus), Indiana","1000 Smith Ave","McDonald's Restaurant","Crawfordsville","IN","47933-1076","BUS","18"
"42","CRF","Crawfordsville (Amtrak), Indiana","Spring and Green Streets","","Crawfordsville","IN","47933","RAIL","18"
"43","CRH","Cherry Hill, New Jersey","Cornell Ave. & West Marlton Pike","","Cherry Hill","NJ","08002","OTHER","34"
"44","CRM","Carmel, California","3645 Rio Road","In front Chevron Stationn & Mart","Carmel","CA","93923-8609","BUS","06"
"45","CRN","Creston, Iowa","Pine and Adams Avenue","","Creston","IA","50891","RAIL","19"
"46","CRT","Croton Harmon, New York","1 Croton Point Avenue","","Croton-on-Hudson","NY","10520-3054","RAIL","36"
"47","CRV","Carlinville, Illinois","128 Alton Rd.","","Carlinville","IL","62626-1625","RAIL","17"
"48","CSN","Clemson, South Carolina","Calhoun Memorial Hwy and College Ave.","","Clemson","SC","29631","RAIL","45"
"51","CTL","Centralia, Washington","210 Railroad Avenue","","Centralia","WA","98531","RAIL","53"
"52","CUM","Cumberland, Maryland","East Harrison and Queen City Street","","Cumberland","MD","21502","RAIL","24"
"53","CUT","Cut Bank, Montana","101 BNSF Industrial Site","Off Central Avenue/Hwy 213","Cut Bank","MT","59427-2934","RAIL","30"
"54","CVD","Camp Verde, Arizona","1613 Finnie Flats Rd","Burger King","Camp Verde","AZ","86322-5201","BUS","04"
"55","CVI","Corvallis, Oregon","153 NW 4th Avenue","Greyhound Station","Corvallis","OR","97330","BUS","41"
"56","CVS","Charlottesville, Virginia","810 West Main St","","Charlottesville","VA","22903","RAIL","51"
"57","CWH","Cornwells Heights, Pennsylvania","700 Station Ave.","Station Avenue and Railroad Avenue","Cornwells Heights","PA","19020","RAIL","42"
"58","CWT","Chatsworth, California","10040 Old Depot Plaza Road","","Chatsworth","CA","91311","RAIL","06"
"59","CYN","Cary, North Carolina","211 North Academy Street","","Cary","NC","27511","RAIL","37"
"60","DAL","Dallas, Texas","400 South Houston St.","Union Station","Dallas","TX","75202-4840","RAIL","48"
"61","DAM","Damariscotta, Maine","167 Main St.","Waltz Pharmacy","Damariscotta","ME","04543-4649","BUS","23"
"62","DAN","Danville, Virginia","677 Craghead St.","","Danville","VA","24541-1503","RAIL","51"
"63","DAV","Davis, California","840 Second Street","Amtrak Passenger Station","Davis","CA","95616-4624","RAIL","06"
"64","DBP","Dublin-Pleasanton, California","5801 Owens Drive","BART Station, north side, East curb near par. str.","Pleasanton","CA","94588-3900","BUS","06"
"65","DDE","Dade City, Florida","14218 US Highway 98","Hwy98/301 Truck Route","Dade City","FL","33525","OTHER","12"
"66","DDG","Dodge City, Kansas","Central Ave & Wyatt Earp St.","","Dodge City","KS","67801","RAIL","20"
"67","DEB","Denver (Bus Station), Colorado","1055 19th Street","Greyhound Station","Denver","CO","80202","BUS","08"
"68","DEM","Deming, New Mexico","400 East Railroad Avenue","","Deming","NM","88030","RAIL","35"
"69","DEN","Denver, Colorado","1701 Wynkoop Street","Union Station","Denver","CO","80202","RAIL","08"
"70","DER","Dearborn, Michigan","16121 Michigan Ave.","","Dearborn","MI","48126","RAIL","26"
"71","DET","Detroit, Michigan","11 West Baltimore Ave.","","Detroit","MI","48202","RAIL","26"
"72","DFB","Deerfield Beach, Florida","1300 W. Hillsboro Blvd","","Deerfield Beach","FL","33442","RAIL","12"
"73","DGS","Douglas, Wyoming","628 East Richards St.","Plains Motel & Gift Shop","Douglas","WY","82633-2834","BUS","56"
"74","DHM","Durham, New Hampshire","3 Depot Road","University of New Hampshire campus","Durham","NH","03824-1909","RAIL","33"
"75","DIL","Dillon, South Carolina","100 North Railroad Avenue","","Dillon","SC","29536","RAIL","45"
"76","DLB","Delray Beach, Florida","345 South Congress Ave","","Delray Beach","FL","33444","RAIL","12"
"77","DLD","Deland, Florida","2491 Old New York Ave","","Deland","FL","32720-2808","RAIL","12"
"78","DLK","Detroit Lakes, Minnesota","116 Pioneer Street","","Detroit Lakes","MN","56501","RAIL","27"
"79","DNC","Durham, North Carolina","400 W. Chapel Hill Street","","Durham","NC","27701","RAIL","37"
"80","DNK","Denmark, South Carolina","200 West Baruch Street","","Denmark","SC","29042","RAIL","45"
"81","DOA","Dowagiac, Michigan","200 Depot Drive","","Dowagiac","MI","49047-1779","RAIL","26"
"82","DOV","Dover, New Hampshire","33 Chestnut St.","","Dover","NH","03820-3327","RAIL","33"
"83","DOW","Downingtown, Pennsylvania","West Lancaster Ave. and Stuart Ave.","","Downingtown","PA","19335","RAIL","42"
"84","DQN","Du Quoin, Illinois","20 North Chestnut St.","","Du Quoin","IL","62832-1602","RAIL","17"
"85","DRD","Durand, Michigan","200 South Railroad St.","","Durand","MI","48429-1713","RAIL","26"
"86","DRT","Del Rio, Texas","100 North Main Street","","Del Rio","TX","78840","RAIL","48"
"87","DUK","Dunkirk, New York","411 Central Ave.","P&G Foods","Dunkirk","NY","14048","BUS","36"
"88","DUL","Duluth (Greyhound Station), Minnesota","4426 Grand Ave.","Greyhound Terminal","Duluth","MN","55806","BUS","27"
"89","DUN","Dunsmuir (Amtrak Station), California","5750 Sacramento Avenue","Amtrak Passenger Station","Dunsmuir","CA","96025-2024","RAIL","06"
"90","DUU","Duluth (University of Minnesota), Minnesota","175 Kirby Student Union","","Duluth","MN","55812","BUS","27"
"91","DVI","Danville, Illinois","379 Lynch Road","BP Amoco Station","Danville","IL","61834-9378","BUS","17"
"92","DVL","Devils Lake, North Dakota","Railroad Ave. and Third St.","","Devils Lake","ND","58301","RAIL","38"
"93","DVP","Davenport, Iowa","304 West River Drive","","Davenport","IA","52801","BUS","19"
"94","DVR","Dover, Delaware","716 South Governors Ave","City Cab","Dover","DE","19901-4633","BUS","10"
"95","DWT","Dwight, Illinois","119 West Main St.","","Dwight","IL","60420-1321","RAIL","17"
"96","DYA","Daytona Beach, Florida","100 North Atlantic Ave","Hilton Daytona Beach Ocean Walk Village","Daytona Beach","FL","32118-4273","BUS","12"
"97","DYE","Dyer, Indiana","913 Sheffield Avenue","(near Sheffield and Matteson)","Dyer","IN","46311","RAIL","18"
"98","EDM","Edmonds, Washington","211 Railroad Ave.","","Edmonds","WA","98020-4132","RAIL","53"
"99","EFG","Effingham, Illinois","401 West National Ave.","","Effingham","IL","62401-3772","RAIL","17"
"100","EGH","Egg Harbor City, New Jersey","South Philadelphia Ave & Atlantic Ave","New Jersey Transit","Egg Harbor City","NJ","08215","OTHER","34"
"101","EKA","Eureka, California","Sixth and C Sts.","Bus stop behind Denny's","Eureka","CA","95501","BUS","06"
"102","EKG","Elk Grove, California","Harbor Point Drive at Renwick Avenue","Across from McDonald's","Elk Grove","CA","95758","BUS","06"
"103","EKH","Elkhart, Indiana","131 Tyler Avenue","","Elkhart","IN","46515","RAIL","18"
"104","ELB","El Paso (Bus Station), Texas","200 W. San Antonio Ave.","","El Paso","TX","79901-1048","BUS","48"
"105","ELK","Elko, Nevada","12th and Silver Sts.","","Elko","NV","89801","RAIL","32"
"106","ELP","El Paso, Texas","700 San Francisco St.","","El Paso","TX","79901","RAIL","48"
"107","ELS","Elsie, Oregon","44573 Highway 26","Baker's General Store/Hardware","Elsie","OR","97138","BUS","41"
"108","ELT","Elizabethtown, Pennsylvania","South Wilson Avenue at West High Street","","Elizabethtown","PA","17022","RAIL","42"
"109","ELY","Elyria, Ohio","410 East River Road","","Elyria","OH","44035","RAIL","39"
"110","EMY","Emeryville, California","5885 Horton Street","","Emeryville","CA","94608-2037","RAIL","06"
"111","EPH","Ephrata, Washington","24 Alder St NW","Bus leaves from 90 Alder St NW","Ephrata","WA","88823-2421","RAIL","53"
"112","EPL","El Portal, California","11136 Highway 140","Yosemite View Lodge","El Portal","CA","95318-0169","BUS","06"
"113","ERI","Erie, Pennsylvania","125 West 14th Street","","Erie","PA","16501","RAIL","42"
"114","ESM","Essex, Montana","290 Izaak Walton Inn Rd","Izaak Walton Inn","Essex","MT","59916-9710","RAIL","30"
"115","ESX","Essex Junction, Vermont","29 Railroad Ave.","","Essex Jct.","VT","05452","RAIL","50"
"116","EUG","Eugene, Oregon","433 Willamette Street","","Eugene","OR","97401-2613","RAIL","41"
"117","EVR","Everett, Washington","3201 Smith Ave.","","Everett","WA","98201","RAIL","53"
"118","EWR","Newark Liberty International Airport, New Jersey","Newark Liberty International Airport","AirTrain from main airport terminal","Newark","NJ","07114-3401","RAIL","34"
"119","EXR","Exeter, New Hampshire","60 Lincoln Street","Lincoln Street at Railroad Avenue","Exeter","NH","03833","RAIL","33"
"120","EXT","Exton, Pennsylvania","425 Walkertown Road","US 30/Route 100 (Pottstown Pike) interchange","Exton","PA","19341","RAIL","42"
"121","FAR","Fargo, North Dakota","420 4th Street North","","Fargo","ND","58102","RAIL","38"
"122","FAY","Fayetteville, North Carolina","472 Hay Street","","Fayetteville","NC","28301-5563","RAIL","37"
"123","FBG","Fredericksburg, Virginia","200 Lafayette Blvd.","","Fredericksburg","VA","22401-6067","RAIL","51"
"124","FCC","Fort Collins, Colorado","250 North Mason St.","Greyhound Station","Fort Collins","CO","80524-4407","BUS","08"
"125","FDL","Fond du Lac, Wisconsin","976 South Main St.","Mobile Station","Fond du Lac","WI","54935-6101","BUS","55"
"126","FDN","Fredonia, New York","1 State University of New York","William Center Student Union","Fredonia","NY","14063","BUS","36"
"127","FED","Fort Edward-Glens Falls, New York","70 East St.","East and Rogers Sts.","Fort Edward","NY","12828","RAIL","36"
"128","FGG","Flagstaff (Greyhound), Arizona","399 S. Malpais Ln.","Greyhound Bus Terminal","Flagstaff","AZ","86001-6218","BUS","04"
"129","FHD","Fort Hood, Texas","Hood Road & Old Ironsides Ave.","Copeland Soldier's Service Center--Bldg. 18010","Fort Hood","TX","76544","BUS","48"
"130","FHV","Fair Haven, Vermont","Depot and Water Sts.","","Fair Haven","VT","05743","RAIL","50"
"131","FIL","Fillmore, California","718 West Ventura St.","International House of Pancakes","Fillmore","CA","93015-1835","BUS","06"
